id;timestamp;category;product;brand;size;price;availability
091e3e717071e022fd099f61d86740ab;2019-11-15 00:31:07 0000;Soaps & Body Wash;Godrej Protekt Masterchef's Hand Wash Pump Dispenser  (300 ml);Godrej Protekt;300 ml;87;TRUE
7787360d14f47d2ef78e09a2e695ec8e;2019-11-30 00:35:33 0000;Diapers & Wipes;Pampers Baby-Dry - XL  (36 Pieces);Pampers;36 Pieces;678;TRUE
fa5331f240a13ae0448984f51f1d2891;2019-11-12 00:59:49 0000;Biscuits;Parle Manaco Jeffs Zeera Biscuits  (200 g);Parle;200 g;60;TRUE
60473a27bdad44da0551ec8b20c3343e;2019-11-29 00:31:49 0000;Soaps & Body Wash;Patanjali Activated Carbon Herbal Face Wash  (60 g);Patanjali;60 g;60;TRUE
37f36bf145d52d8f6e3a4a799f077274;2019-11-23 03:16:29 0000;Soft Drinks;Glucon-D Instant Energy Drink  (1 kg, Orange Flavored);Glucon-D;1 kg;284;TRUE
4c62cda3cbdc0fece2b441c58c0d1d0c;2019-11-14 00:23:26 0000;Masalas & Spices;Aachi Chaat Masala  (100 g);Aachi;100 g;44;TRUE
2d44df804b4cf11ce43abf9973c4e691;2019-11-25 00:28:51 0000;Breakfast Cereals;Kellogg's Chocos Crunchy Bites  (375 g, Box);Kellogg's;375 g Box;175;TRUE
25dfa7ca827c9c5a651504bc2560f617;2019-11-05 00:34:52 0000;Creams, Lotions, Skin Care;Neutrogena Ultra Sheer Sunblock Cream - SPF 50+ PA+++  (88 ml);Neutrogena;88 ml;527;TRUE
fe2e32d43690f11d6666d39a3a678828;2019-11-29 00:27:29 0000;Biscuits;Sunfeast Farmlite Digestive Oats with Chocolate  (150 g);Sunfeast;150 g;50;TRUE
82c51264c2f8cf46e72d5ed7048aa82e;2019-11-14 00:28:57 0000;Juices;Del Monte Pineapple Fruit Drink  (240 ml);Del Monte;240 ml Can;40;TRUE
6be21bef53f3d82b086febe4fc772ec1;2019-11-14 00:34:09 0000;Kajal & Makeup;Lotus Herbals 24Hrs Nourishment Kit 100 g  (Set of 2);Lotus;100 g;660;TRUE
9d2445aee6b12ef542681d2b64bf264a;2019-11-01 00:25:30 0000;Masalas & Spices;Soul Chicken Tikka Instant Masala Mix  (70 g);Soul;70 g;49;TRUE
2cd951b0f9e7b09d6e09a1b3cdea5a64;2019-11-28 00:27:26 0000;Chips,Namkeen & Snacks;Haldiram's Murukku  (200 g);Haldiram's;200 g;50;TRUE
2cd28759c1f1c9a3c8cf40aa10cb1ac0;2019-11-03 00:24:34 0000;Rice & Rice Products;India Gate Brain Metabolism Booster Brown Basmati Rice  (1 kg);India Gate;1 kg;147;TRUE
743aba3b0ba93a7f939bdbf281cd8cd2;2019-11-26 00:35:43 0000;Kajal & Makeup;Himalaya Kajal  (Black, 1 g);Black;1 g;45;TRUE
b10180eda8cbdbc5d33b69955353d253;2019-11-17 00:27:09 0000;Noodles & Pasta;Top Ramen Oat Masala Instant Noodles Vegetarian  (280 g);Top Ramen;280 g;79;TRUE
43f4acdf036ad79837055b6d1a2beb51;2019-11-23 03:26:10 0000;Baking;Bluebird Superfine Self Rising Flour Powder  (500 g);Bluebird;500 g;49;TRUE
e0647922743f050e4f3160d6edfbdfb8;2019-11-23 03:34:54 0000;Repellants & Fresheners;Odonil Zipper Soulful Jasmine Blocks (Pack of 6)  (60 g);Odonil Zipper;60 g;270;TRUE
f1d12164e8c42006e2612023ae55df45;2019-11-15 00:28:36 0000;Chocolates & Sweets;Haldiram's Double Joy Box  (450 g);Haldiram's;450 g;133;TRUE
1c4d2f59d20a58238012e1ec93cc5d30;2019-11-25 00:40:58 0000;Dairy;Nandini Goodlife Gold Homogenised Standardised Milk;Nandini;1 L;60;TRUE
36a640cda419fd75b2256a0c6ab21520;2019-11-07 00:33:12 0000;Deos, Perfumes & Talc;Secret Temptation Romance Deodorant Spray - For Women  (150 ml);Secret Temptation;150 ml;171;TRUE
e25ec0d18b7f6c70221d9ce7092625c2;2019-11-23 03:35:38 0000;Utensil Cleaners;Scotch Brite Scrub Sponge  (Large, Pack of 2);Scotch Brite;Pack of 2;58;TRUE
8df0f1de86b1a14ff56569cce7d3e2b9;2019-11-22 00:24:45 0000;Atta & Flours;Fortune Chakki Fresh Atta  (10 kg);Fortune;10 kg;313;TRUE
52a9e4262c3664dfd483d7c76a032968;2019-11-23 03:22:42 0000;Chocolates & Sweets;Fabelle Choco Deck Fruit and Nut Bars  (128 g);Fabelle;128 g;144;TRUE
f53fa68d2c0c19f7cad8d6f31b09acb4;2019-11-23 03:00:16 0000;Masalas & Spices;MTR Tomato Rice Powder  (50 g);MTR;50 g;13;TRUE
d95a6eceafd509607b5aadcb01fb5c7e;2019-11-04 00:47:29 0000;Repellants & Fresheners;Baygon Mosquito and Fly Killer;Baygon;200 ml;95;TRUE
9faf9bfb1df95700e9325fcb5d4e12af;2019-11-14 00:34:19 0000;Hair Care;Parachute Advansed Men Anti-Hairfall Aftershower Hair Cream  (100 g);Parachute Advansed Men;100 g;71;TRUE
67c2f3be7bd1e4fc036250fdf66d3e27;2019-11-16 00:26:51 0000;Noodles & Pasta;Weikfield Tomato Salsa Penne Pasta  (64 g);Weikfield;64 g;17;TRUE
337806fff731c1783e67d83544f6ef7f;2019-11-03 00:28:23 0000;Chocolates & Sweets;BMS Sweets Organic Peanut Chikki Pouch  (100 g);BMS Sweets;100 g;35;TRUE
2ad201bfea393a5b7535a184f3a9a188;2019-11-23 03:20:23 0000;Chips,Namkeen & Snacks;Mother's Recipe Sabudana Papad 70 g;Mother's Recipe;70 g;27;TRUE
42af1dbbabcfa57e2015482dec1b42a7;2019-11-14 00:29:57 0000;Soft Drinks;Paper Boat Jaljeera  (250 ml);Paper Boat;250 ml Tetrapack;24;TRUE
4fc3ba27201e580444c5767e12b4f827;2019-11-12 01:04:51 0000;Creams, Lotions, Skin Care;Everyuth Naturals Advanced Hydrating & Exfoliating Walnut Apricot Scrub  (100 g);Everyuth Naturals;100 g;127;TRUE
106159b14e44188357427d5419216860;2019-11-20 00:29:23 0000;Coffee;Nescafe Gold Instant Coffee  (100 g);Nescafe;100 g Glass Bottle;432;TRUE
16b6a92ab7e857bbf7c42995d6cf379d;2019-11-02 00:29:56 0000;Chocolates & Sweets;Bikano Soan Papdi Box  (500 g);Bikano;500 g;171;TRUE
a5772ea425b7b91fcddef6b6a0312201;2019-11-24 00:25:30 0000;Masalas & Spices;Ashok Shahi Paneer Masala  (100 g);Ashok;100 g;54;TRUE
1fde46f62e5066f1ab3b34c380e3b5e0;2019-11-27 00:40:11 0000;Repellants & Fresheners;All Out Ultra Mosquito Vaporiser Refill;All Out;6x45 ml;401;TRUE
66e3be16c73c0a3b83e8456bee24eb57;2019-11-28 00:26:30 0000;Masalas & Spices;Satyam Chilly Kashmiri  (100 g);Satyam;100 g;43;TRUE
b07ad893bc83a132e1c0729e078c9c57;2019-11-10 00:26:46 0000;Juices;B Natural Dakshin Pink Guava  (750 ml);B Natural;750 ml Plastic Bottle;95;TRUE
7deae6c9088a56df22f9d6541029d75d;2019-11-11 00:32:33 0000;Hair Care;Nyle Anti Hairfall Shampoo  (800 ml);Nyle;800 ml;198;TRUE
